"time","IAE_1.y","IAE_2.y","IE_1.y","IE_2.y","r_11.y","r_22.y","y_11.y","y_22.y"
283,13.9999,9.33328,4.66664,3.05551e-10,1,0,1,-4.64606e-12
284,13.9999,9.33328,4.66664,2.69723e-10,1,0,1,9.18643e-12
285,13.9999,9.33328,4.66664,2.42294e-10,1,0,1,3.67484e-11
286,13.9999,9.33328,4.66664,2.09173e-10,1,0,1,6.06755e-11
287,13.9999,9.33328,4.66664,1.7139e-10,1,0,1,6.41509e-11
288,13.9999,9.33328,4.66664,1.28942e-10,1,0,1,4.34963e-11
289,13.9999,9.33328,4.66664,9.548e-11,1,0,1,2.93379e-11
290,13.9999,9.33328,4.66664,6.745e-11,1,0,1,1.43823e-11
291,13.9999,9.33328,4.66664,4.48514e-11,1,0,1,-1.3709e-12
292,13.9999,9.33328,4.66664,3.83449e-11,1,0,1,-5.66924e-12
293,13.9999,9.33328,4.66664,3.52425e-11,1,0,1,-6.79368e-12
294,13.9999,9.33328,4.66664,3.214e-11,1,0,1,-7.91767e-12
295,13.9999,9.33328,4.66664,2.68541e-11,1,0,1,-3.57048e-12
296,13.9999,9.33328,4.66664,1.91148e-11,1,0,1,6.92379e-12
297,13.9999,9.33328,4.66664,1.13755e-11,1,0,1,1.74176e-11
298,13.9999,9.33328,4.66664,3.57404e-12,1,0,1,2.50031e-11
299,13.9999,9.33328,4.66664,-4.57475e-12,1,0,1,1.63385e-11
300,13.9999,9.33328,4.66664,-9.153e-12,1,0,1,9.166e-12
300,13.9999,9.33328,4.66664,-9.153e-12,1,1,1,9.166e-12
300,13.9999,9.33328,4.66664,-5.82248e-12,1,1,1,6.66844e-12
300,13.9999,9.33328,4.66664,-5.82248e-12,0,1,1,6.66844e-12
301,15.1089,10.4422,3.55767,1.10897,0,1,1.06248,-0.0624794
302,16.033,11.3664,2.63352,2.03312,0,1,0.787249,0.212751
303,16.7058,12.0391,1.96078,2.70586,0,1,0.57122,0.42878
304,17.1976,12.531,1.46897,3.19767,0,1,0.421296,0.578704
305,17.5626,12.896,1.10394,3.5627,0,1,0.314457,0.685543
306,17.8359,13.1693,0.830656,3.83598,0,1,0.236011,0.763989
307,18.0413,13.3746,0.625302,4.04134,0,1,0.177511,0.822489
308,18.1958,13.5291,0.470784,4.19586,0,1,0.13361,0.86639
