"time","y_11.y","y_22.y","u_11.y","u_22.y","IAE_1.y","IAE_2.y","IE_1.y","IE_2.y"
189,0.999991,-1.84262e-5,0.156976,0.0534052,6.95726,16.52,1.85101,-0.048575
190,0.99999,-1.83474e-5,0.156977,0.0534049,6.95727,16.52,1.85102,-0.0485567
191,0.99999,-1.81524e-5,0.156977,0.0534048,6.95728,16.52,1.85103,-0.0485384
192,0.99999,-1.78145e-5,0.156977,0.0534049,6.95729,16.52,1.85104,-0.0485204
193,0.999991,-1.73406e-5,0.156977,0.0534052,6.9573,16.52,1.85105,-0.0485028
194,0.999992,-1.67751e-5,0.156977,0.0534055,6.95731,16.5201,1.85105,-0.0484858
195,0.999992,-1.61697e-5,0.156977,0.0534056,6.95732,16.5201,1.85106,-0.0484693
196,0.999992,-1.55681e-5,0.156977,0.0534055,6.95732,16.5201,1.85107,-0.0484534
197,0.999992,-1.4986e-5,0.156977,0.0534053,6.95733,16.5201,1.85108,-0.0484382
198,0.999992,-1.44109e-5,0.156978,0.0534051,6.95734,16.5201,1.85109,-0.0484235
199,0.999992,-1.38149e-5,0.156978,0.0534049,6.95735,16.5201,1.85109,-0.0484094
200,0.999992,-1.31741e-5,0.156978,0.053405,6.95736,16.5201,1.8511,-0.0483959
201,0.999993,-1.2487e-5,0.156978,0.0534052,6.95736,16.5202,1.85111,-0.048383
202,0.999993,-1.17691e-5,0.156978,0.0534054,6.95737,16.5202,1.85112,-0.0483709
203,0.999994,-1.105e-5,0.156978,0.0534055,6.95738,16.5202,1.85112,-0.0483595
204,0.999994,-1.03576e-5,0.156978,0.0534055,6.95738,16.5202,1.85113,-0.0483488
205,0.999994,-9.70501e-6,0.156979,0.0534054,6.95739,16.5202,1.85114,-0.0483388
206,0.999994,-9.08855e-6,0.156979,0.0534053,6.9574,16.5202,1.85114,-0.0483294
207,0.999994,-8.49312e-6,0.156979,0.0534052,6.9574,16.5202,1.85115,-0.0483206
208,0.999994,-7.90196e-6,0.156979,0.0534052,6.95741,16.5202,1.85116,-0.0483124
209,0.999995,-7.30657e-6,0.156979,0.0534053,6.95742,16.5202,1.85116,-0.0483048
210,0.999995,-6.71165e-6,0.156979,0.0534055,6.95742,16.5202,1.85117,-0.0482978
211,0.999995,-6.13161e-6,0.156979,0.0534056,6.95743,16.5202,1.85117,-0.0482913
212,0.999996,-5.5816e-6,0.15698,0.0534056,6.95743,16.5203,1.85118,-0.0482855
213,0.999996,-5.07295e-6,0.15698,0.0534056,6.95743,16.5203,1.85118,-0.0482802
214,0.999996,-4.60407e-6,0.15698,0.0534055,6.95744,16.5203,1.85118,-0.0482753
215,0.999996,-4.16736e-6,0.15698,0.0534055,6.95744,16.5203,1.85119,-0.0482709
216,0.999996,-3.75143e-6,0.15698,0.0534055,6.95745,16.5203,1.85119,-0.048267
217,0.999996,-3.34715e-6,0.15698,0.0534056,6.95745,16.5203,1.8512,-0.0482634
218,0.999997,-2.95466e-6,0.15698,0.0534057,6.95745,16.5203,1.8512,-0.0482603
219,0.999997,-2.57942e-6,0.15698,0.0534057,6.95746,16.5203,1.8512,-0.0482575
220,0.999997,-2.23032e-6,0.15698,0.0534058,6.95746,16.5203,1.85121,-0.0482551
221,0.999997,-1.91298e-6,0.156981,0.0534058,6.95746,16.5203,1.85121,-0.048253
222,0.999997,-1.62807e-6,0.156981,0.0534058,6.95746,16.5203,1.85121,-0.0482513
223,0.999997,-1.37104e-6,0.156981,0.0534058,6.95747,16.5203,1.85121,-0.0482498
224,0.999998,-1.13458e-6,0.156981,0.0534058,6.95747,16.5203,1.85122,-0.0482485
225,0.999998,-9.12035e-7,0.156981,0.0534058,6.95747,16.5203,1.85122,-0.0482475
226,0.999998,-7.00992e-7,0.156981,0.0534059,6.95747,16.5203,1.85122,-0.0482467
227,0.999998,-5.03999e-7,0.156981,0.053406,6.95748,16.5203,1.85122,-0.0482461
228,0.999998,-3.23465e-7,0.156981,0.053406,6.95748,16.5203,1.85122,-0.0482457
229,0.999998,-1.63444e-7,0.156981,0.053406,6.95748,16.5203,1.85123,-0.0482454
230,0.999998,-2.57834e-8,0.156981,0.053406,6.95748,16.5203,1.85123,-0.0482453
231,0.999999,9.26716e-8,0.156982,0.053406,6.95748,16.5203,1.85123,-0.0482454
232,0.999999,1.95541e-7,0.156982,0.053406,6.95748,16.5203,1.85123,-0.0482455
233,0.999999,2.87471e-7,0.156982,0.0534061,6.95749,16.5203,1.85123,-0.0482457
234,0.999999,3.71077e-7,0.156982,0.0534061,6.95749,16.5203,1.85123,-0.0482461
235,0.999999,4.46523e-7,0.156982,0.0534062,6.95749,16.5203,1.85123,-0.0482465
236,0.999999,5.1318e-7,0.156982,0.0534062,6.95749,16.5203,1.85123,-0.048247
237,0.999999,5.68132e-7,0.156982,0.0534062,6.95749,16.5203,1.85124,-0.0482475
238,0.999999,6.11023e-7,0.156982,0.0534062,6.95749,16.5203,1.85124,-0.0482481
239,0.999999,6.43339e-7,0.156982,0.0534062,6.95749,16.5203,1.85124,-0.0482487
240,0.999999,6.65807e-7,0.156982,0.0534062,6.95749,16.5203,1.85124,-0.0482494
241,0.999999,6.82047e-7,0.156982,0.0534063,6.95749,16.5203,1.85124,-0.04825
242,0.999999,6.94122e-7,0.156982,0.0534063,6.95749,16.5203,1.85124,-0.0482507
243,0.999999,7.04097e-7,0.156982,0.0534063,6.95749,16.5203,1.85124,-0.0482514
244,0.999999,7.08914e-7,0.156982,0.0534063,6.95749,16.5203,1.85124,-0.0482521
245,0.999999,7.09583e-7,0.156982,0.0534064,6.9575,16.5203,1.85124,-0.0482529
246,1,7.03419e-7,0.156982,0.0534064,6.9575,16.5203,1.85124,-0.0482536
247,1,6.91833e-7,0.156982,0.0534064,6.9575,16.5203,1.85124,-0.0482543
248,1,6.76067e-7,0.156982,0.0534064,6.9575,16.5203,1.85124,-0.0482549
249,1,6.57106e-7,0.156982,0.0534064,6.9575,16.5203,1.85124,-0.0482556
250,1,6.38178e-7,0.156982,0.0534064,6.9575,16.5203,1.85124,-0.0482563
251,1,6.18141e-7,0.156983,0.0534064,6.9575,16.5203,1.85124,-0.0482569
252,1,5.97176e-7,0.156983,0.0534065,6.9575,16.5203,1.85124,-0.0482575
253,1,5.75291e-7,0.156983,0.0534065,6.9575,16.5203,1.85124,-0.0482581
254,1,5.51379e-7,0.156983,0.0534065,6.9575,16.5203,1.85125,-0.0482586
255,1,5.26744e-7,0.156983,0.0534065,6.9575,16.5203,1.85125,-0.0482592
256,1,4.99436e-7,0.156983,0.0534065,6.9575,16.5203,1.85125,-0.0482597
257,1,4.72268e-7,0.156983,0.0534065,6.9575,16.5203,1.85125,-0.0482602
258,1,4.44878e-7,0.156983,0.0534065,6.9575,16.5203,1.85125,-0.0482606
259,1,4.19605e-7,0.156983,0.0534065,6.9575,16.5203,1.85125,-0.0482611
260,1,3.94743e-7,0.156983,0.0534065,6.9575,16.5203,1.85125,-0.0482615
261,1,3.70079e-7,0.156983,0.0534065,6.9575,16.5203,1.85125,-0.0482619
262,1,3.45361e-7,0.156983,0.0534066,6.9575,16.5203,1.85125,-0.0482622
263,1,3.20456e-7,0.156983,0.0534066,6.9575,16.5203,1.85125,-0.0482625
