"time","IAE_1.y","IAE_2.y","IE_1.y","IE_2.y","y_11.y","y_22.y","r_11.y","r_22.y"
213,62.9899,45.2808,62.9899,-45.2808,0.92124,0.170714,1,0
214,63.0685,45.451,63.0685,-45.451,0.921645,0.169869,1,0
215,63.1466,45.6205,63.1466,-45.6205,0.922048,0.169029,1,0
216,63.2244,45.7891,63.2244,-45.7891,0.922448,0.168193,1,0
217,63.3017,45.9569,63.3017,-45.9569,0.922846,0.16736,1,0
218,63.3787,46.1238,63.3787,-46.1238,0.923241,0.166532,1,0
219,63.4553,46.2899,63.4553,-46.2899,0.923634,0.165707,1,0
220,63.5314,46.4552,63.5314,-46.4552,0.924025,0.164887,1,0
221,63.6072,46.6197,63.6072,-46.6197,0.924413,0.16407,1,0
222,63.6826,46.7834,63.6826,-46.7834,0.924798,0.163257,1,0
223,63.7576,46.9462,63.7576,-46.9462,0.925182,0.162448,1,0
224,63.8323,47.1083,63.8323,-47.1083,0.925563,0.161643,1,0
225,63.9065,47.2695,63.9065,-47.2695,0.925942,0.160842,1,0
226,63.9804,47.43,63.9804,-47.43,0.926318,0.160045,1,0
227,64.0539,47.5896,64.0539,-47.5896,0.926693,0.159251,1,0
228,64.127,47.7485,64.127,-47.7485,0.927065,0.158462,1,0
229,64.1997,47.9065,64.1997,-47.9065,0.927435,0.157676,1,0
230,64.2721,48.0638,64.2721,-48.0638,0.927803,0.156894,1,0
231,64.3441,48.2203,64.3441,-48.2203,0.928169,0.156116,1,0
232,64.4158,48.3761,64.4158,-48.3761,0.928532,0.155341,1,0
233,64.4871,48.531,64.4871,-48.531,0.928894,0.15457,1,0
234,64.558,48.6852,64.558,-48.6852,0.929253,0.153803,1,0
235,64.6286,48.8386,64.6286,-48.8386,0.929611,0.15304,1,0
236,64.6988,48.9913,64.6988,-48.9913,0.929967,0.152281,1,0
237,64.7686,49.1432,64.7686,-49.1432,0.93032,0.151525,1,0
238,64.8381,49.2943,64.8381,-49.2943,0.930672,0.150773,1,0
239,64.9073,49.4447,64.9073,-49.4447,0.931021,0.150024,1,0
240,64.9761,49.5944,64.9761,-49.5944,0.931369,0.149279,1,0
